Thorlabs Shack-Hartmann Wavefront Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model                  ,       WFS150-5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number          ,       M00278808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date MM-DD-YYYY        ,       03-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time HH:MM:SS          ,       12:17:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** CAMERA ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera Type            ,       Thorlabs DCU224M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculation Area       ,       entire area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV                     ,0.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS                    ,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS weighted           ,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spots X                ,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spots Y                ,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y / x [mm],-2.7,-2.55,-2.4,-2.25,-2.1,-1.95,-1.8,-1.65,-1.5,-1.35,-1.2,-1.05,-0.9,-0.75,-0.6,-0.45,-0.3,-0.15,0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7
2.1,-0.262,-0.237,-0.234,-0.202,-0.174,-0.159,-0.193,-0.244,-0.325,-0.368,-0.379,-0.38,-0.357,-0.336,-0.375,-0.408,-0.369,-0.272,-0.227,-0.161,-0.071,-0.031,0.016,-0.002,0.001,0.016,0.075,0.107,0.118,0.134,0.114,0.122,0.147,0.156,0.129,0.101,0.044
1.95,-0.223,-0.196,-0.182,-0.185,-0.148,-0.095,-0.103,-0.167,-0.242,-0.285,-0.276,-0.282,-0.293,-0.297,-0.334,-0.388,-0.378,-0.293,-0.237,-0.161,-0.104,-0.068,-0.054,-0.041,-0.013,0.005,0.053,0.105,0.117,0.11,0.096,0.126,0.139,0.121,0.092,0.08,0.02
1.8,-0.133,-0.109,-0.09,-0.131,-0.116,-0.067,-0.041,-0.085,-0.16,-0.197,-0.201,-0.192,-0.209,-0.242,-0.304,-0.357,-0.304,-0.224,-0.184,-0.137,-0.085,-0.061,-0.062,-0.065,-0.025,0.014,0.055,0.12,0.103,0.099,0.06,0.074,0.084,0.081,0.059,0.019,-0.02
